物件ID,物件名,物件種別,価格,価格（万円）,間取り,間取り（部屋数）,建物面積,建物面積（㎡）,土地面積,土地面積（㎡）,築年月日,築年月日（日付）,築年数,築年数（年）,駅情報・駅徒歩,所在地,不動産会社,お気に入り登録数,ファイル名
1193435717,行橋市 大字矢留（今川河童駅） 平屋建 ５ＤＫ300万円,中古一戸建て,300万円,300,５ＤＫ,5,140.94m²,140.94,"2,347.97m²",2,1971年8月（築54年9ヶ月）,1971-08-01,築54年8ヶ月,54,平成筑豊鉄道 「今川河童」駅 徒歩20分,N/A,(株)アンサー倶楽部（ＪＲ鹿児島本線/小倉 徒歩4分）オンライン相談可北九州・福岡市及び近郊エリアの不動産のことならアンサー倶楽部へお任せください!!,N/A,fukuoka.html
6986483604,大川市 大字大野島 平屋建 ３ＬＤＫ330万円,中古一戸建て,330万円,330,３ＬＤＫ,3,240.23m²,240.23,"1,121.86m²",1,1946年6月（築79年11ヶ月）,1946-06-01,築79年10ヶ月,79,【バス】大野島農協前 停歩3分,N/A,(株)石井不動産（西鉄天神大牟田線/西鉄柳川）福岡県大川市を中心としたアパートマンション情報は当店まで！,N/A,fukuoka.html
6984184229,朝倉市 上秋月 2階建 ７ＬＤＫ350万円,リフォーム・リノベーション,350万円,350,７ＬＤＫ,7,210.22m²,210.22,996.00m²,996.00,1926年1月（築100年4ヶ月）,1926-01-01,築100年3ヶ月,100,西鉄バス（朝倉総合庁舎入口）,N/A,イーグルハウス(株)（西鉄甘木線/甘木 徒歩1分）オンライン相談可不動産の事なら何でもご相談ください！一緒に理想のお住まいを探しましょう！,N/A,fukuoka.html
1033052189,嘉麻市 大隈町 2階建 ６ＳＬＤＫ350万円,中古一戸建て,350万円,350,６ＳＬＤＫ,6,164.56m²,164.56,678.25m²,678.25,1977年3月（築49年2ヶ月）,1977-03-01,築49年1ヶ月,49,【バス】大隈 停歩8分,N/A,(株)東武住販　飯塚店（ＪＲ筑豊本線/新飯塚 徒歩3分）オンライン相談可不動産を売るとき、買うとき、お客様の住活を強力にサポート致します,N/A,fukuoka.html
6989911159,北九州市八幡西区 永犬丸東町２丁目（永犬丸駅） 平屋建 ３ＳＤＫ350万円,中古一戸建て,350万円,350,３ＳＤＫ,3,46.96m²,46.96,510.19m²,510.19,1963年2月（築63年3ヶ月）,1963-02-01,築63年2ヶ月,63,筑豊電気鉄道 「永犬丸」駅 徒歩5分,北九州市八幡西区永犬丸東町２丁目,トライ不動産販売(株)（北九州モノレール/城野 徒歩5分）不動産のことなら何でもお任せください！キャリア２０年以上のスタッフが多数在籍！,N/A,fukuoka.html
9541893101,鞍手郡鞍手町 大字中山 平屋建 ５ＤＫ350万円,中古一戸建て,350万円,350,５ＤＫ,5,129.71m²,129.71,747.76m²,747.76,1892年1月（築134年4ヶ月）,1892-01-01,築134年3ヶ月,134,【バス】鞍手車庫 停歩9分,N/A,（株）ふくもと,N/A,fukuoka.html
6961496003,豊前市 大字求菩提（宇島駅） 平屋建 ４ＳＫ350万円,中古一戸建て,350万円,350,４ＳＫ,4,80.16m²,80.16,856.58m²,856.58,1916年1月（築110年4ヶ月）,1916-01-01,築110年3ヶ月,110,ＪＲ日豊本線 「宇島」駅 徒歩15600ｍ,N/A,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.html
6986867674,豊前市 大字八屋（宇島駅） 2階建 ９ＤＫ350万円,中古一戸建て,350万円,350,９ＤＫ,9,154.71m²,154.71,673.12m²,673.12,1968年9月（築57年8ヶ月）,1968-09-01,築57年7ヶ月,57,ＪＲ日豊本線 「宇島」駅 徒歩14分,N/A,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.html
6972528203,北九州市門司区 大字田野浦（門司港駅） 平屋建 ５ＤＫ380万円,中古一戸建て,380万円,380,５ＤＫ,5,125.18m²,125.18,513.25m²,513.25,1986年9月（築39年8ヶ月）,1986-09-01,築39年7ヶ月,39,ＪＲ鹿児島本線 「門司港」駅 徒歩5500ｍ[バス利用可] バス 太刀浦埠頭入口 停歩11分,北九州市門司区大字田野浦,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.html
6989603725,北九州市八幡東区 祝町１丁目（スペースワールド駅） 2階建 ４ＤＫ390万円,中古一戸建て,390万円,390,４ＤＫ,4,108.68m²,108.68,661.15m²,661.15,1964年1月（築62年4ヶ月）,1964-01-01,築62年3ヶ月,62,ＪＲ鹿児島本線 「スペースワールド」駅 徒歩33分[バス利用可] バス 神田橋 停歩8分,北九州市八幡東区祝町１丁目,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.html
6989790269,築上郡築上町 大字椎田（椎田駅） 平屋建 ５ＤＫ390万円,中古一戸建て,390万円,390,５ＤＫ,5,137.42m²,137.42,861.72m²,861.72,1981年7月（築44年10ヶ月）,1981-07-01,築44年9ヶ月,44,ＪＲ日豊本線 「椎田」駅 徒歩6分,N/A,(株)エステートプラン　小倉店（ＪＲ鹿児島本線/西小倉）オンライン相談可想い出を、つぎの家族の想い出に。,N/A,fukuoka.html
6987109596,朝倉市 下渕（甘木駅） 2階建 ７ＤＫ400万円,中古一戸建て,400万円,400,７ＤＫ,7,165.48m²,165.48,608.50m²,608.50,1962年1月（築64年4ヶ月）,1962-01-01,築64年3ヶ月,64,甘木鉄道 「甘木」駅 徒歩46分,N/A,甘鉄エージェンシー(株)（甘木鉄道/甘木 徒歩1分）朝倉市、筑前町を中心とした不動産売買のことならお任せください。,N/A,fukuoka.html
1084903295,大牟田市 新勝立町５丁目（大牟田駅） 平屋建 ４ＤＫ400万円,中古一戸建て,400万円,400,４ＤＫ,4,63.63m²,63.63,691.43m²,691.43,1960年1月（築66年4ヶ月）,1960-01-01,築66年3ヶ月,66,ＪＲ鹿児島本線 「大牟田」駅 徒歩52分,N/A,Ｙ．コーポレーション(株)　大牟田本店（ＪＲ鹿児島本線/大牟田 徒歩25分）オンライン相談可【不動産売買専門】売るのも買うのも Ｙ．コーポレーションへ,N/A,fukuoka.html
6982469026,鞍手郡鞍手町 大字新延（鞍手駅） 2階建 ７ＤＫ400万円,中古一戸建て,400万円,400,７ＤＫ,7,201.51m²,201.51,905.84m²,905.84,1973年9月（築52年8ヶ月）,1973-09-01,築52年7ヶ月,52,ＪＲ筑豊本線 「鞍手」駅 徒歩3000ｍ,N/A,(株)エフ・ユープランニング豊富な知識でお部屋探しに‘‘福’’をもたらします！,N/A,fukuoka.html
6987715299,豊前市 大字中村（豊前松江駅） 平屋建 ４ＤＫ400万円,中古一戸建て,400万円,400,４ＤＫ,4,104.44m²,104.44,614.49m²,614.49,1978年9月（築47年8ヶ月）,1978-09-01,築47年7ヶ月,47,ＪＲ日豊本線 「豊前松江」駅 徒歩15分,N/A,不動産コネクト　(株)Ｋ－ｃｏｎｎｅｃｔ（ＪＲ日豊本線/宇島 徒歩11分）いつもニコニコ笑顔の接客を心がけております。お気軽にお問い合わせください。,N/A,fukuoka.html
,--- fukuoka.txt ---,,,,,,,,,,,,,,,,,,
6988886343,八女市 立花町山崎 平屋建 ３ＤＫ1万円,中古一戸建て,1万円,1,３ＤＫ,3,103.53m²,103.53,"1,117.58m²",1,1905年1月（築121年4ヶ月）,1905-01-01,築121年3ヶ月,121,【バス】八女営業所 停歩2000ｍ,N/A,(株)リヒトアイズ（ＪＲ篠栗線/篠栗 徒歩7分）オンライン相談可,N/A,fukuoka.txt
6980559426,北九州市八幡東区 景勝町（スペースワールド駅） 2階建 ４ＤＫ80万円,中古一戸建て,80万円,80,４ＤＫ,4,82.12m²,82.12,711.00m²,711.00,1966年6月（築59年11ヶ月）,1966-06-01,築59年10ヶ月,59,ＪＲ鹿児島本線 「スペースワールド」駅 徒歩45分[バス利用可] バス 景勝町 停歩5分,北九州市八幡東区景勝町,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.txt
6986934069,北九州市門司区 鳴竹１丁目（関門海峡めかり駅） 2階建 ４Ｋ90万円,中古一戸建て,90万円,90,４Ｋ,4,82.17m²,82.17,553.74m²,553.74,1981年2月（築45年3ヶ月）,1981-02-01,築45年2ヶ月,45,門司港レトロ観光線 「関門海峡めかり」駅 徒歩37分,北九州市門司区鳴竹１丁目,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.txt
6979769763,京都郡みやこ町 徳政（新豊津駅） 平屋建 ５ＤＫ90万円,中古一戸建て,90万円,90,５ＤＫ,5,97.68m²,97.68,789.87m²,789.87,1868年4月（築158年1ヶ月）,1868-04-01,築158年0ヶ月,158,平成筑豊鉄道 「新豊津」駅 徒歩34分,N/A,マルイチ不動産販売(有)（北九州モノレール/徳力公団前 徒歩3分）不動産の事ならまかせて安心！！キャリアの長いスタッフが対応！,N/A,fukuoka.txt
